,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,lninc,custcat
0,Zone 2,13,44,Married,9,64,College degree,5,No,Male,2,No,No,Yes,No,3.7,0.0,0.0,7.5,0.0,37.45,0.0,0.0,110.0,0.0,No,No,No,No,No,No,Yes,No,No,1.308333,4.158883,Basic service
1,Zone 3,11,33,Married,7,136,Post-undergraduate degree,5,No,Male,6,Yes,No,Yes,Yes,4.4,20.75,0.0,15.25,35.7,42.0,211.45,0.0,125.0,380.35,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.481605,4.912655,Total service
2,Zone 3,68,52,Married,24,116,Did not complete high school,29,No,Female,2,Yes,No,Yes,No,18.15,18.0,0.0,30.25,0.0,1300.6,1247.2,0.0,2150.0,0.0,No,No,No,No,Yes,Yes,No,Yes,No,2.898671,4.75359,Plus service
3,Zone 2,33,33,Unmarried,12,33,High school degree,0,No,Female,1,No,No,No,No,9.45,0.0,0.0,0.0,0.0,288.8,0.0,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,2.246015,3.496508,Basic service
4,Zone 2,23,30,Married,9,30,Did not complete high school,2,No,Male,4,No,No,No,No,6.3,0.0,0.0,0.0,0.0,157.05,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,Yes,Yes,No,1.84055,3.401197,Plus service
5,Zone 2,41,39,Unmarried,17,78,High school degree,16,No,Female,1,Yes,No,Yes,No,11.8,19.25,0.0,13.5,0.0,487.4,798.4,0.0,570.0,0.0,No,No,No,No,Yes,Yes,No,No,No,2.4681,4.356709,Plus service
6,Zone 3,45,22,Married,2,19,High school degree,4,No,Female,5,No,No,Yes,No,10.9,0.0,0.0,8.75,0.0,504.5,0.0,0.0,415.0,0.0,Yes,No,No,Yes,No,Yes,No,No,Yes,2.388763,2.944439,E-service
7,Zone 2,38,35,Unmarried,5,76,High school degree,10,No,Male,3,Yes,Yes,Yes,Yes,6.05,45.0,50.1,23.25,64.9,239.55,1873.05,1820.9,880.0,2256.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.800058,4.330733,Total service
8,Zone 3,45,59,Married,7,166,College degree,31,No,Male,5,Yes,No,Yes,No,9.75,28.5,0.0,12.0,0.0,449.05,1240.15,0.0,505.0,0.0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.277267,5.111988,Plus service
9,Zone 1,68,41,Married,21,72,Did not complete high school,22,No,Male,3,No,No,Yes,No,24.15,0.0,0.0,16.5,0.0,1659.7,0.0,0.0,1155.0,0.0,Yes,No,No,No,No,No,No,No,No,3.184284,4.276666,E-service
10,Zone 2,5,33,Unmarried,10,125,College degree,5,No,Female,1,No,Yes,No,No,4.85,0.0,26.15,0.0,0.0,17.25,0.0,110.1,0.0,0.0,No,No,Yes,Yes,No,No,No,No,Yes,1.578979,4.828314,Basic service
11,Zone 3,7,35,Unmarried,14,80,High school degree,15,No,Female,1,Yes,No,Yes,No,7.1,22.0,0.0,23.75,0.0,47.45,166.1,0.0,145.0,0.0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,1.960095,4.382027,Plus service
12,Zone 1,41,38,Married,8,37,High school degree,9,No,Female,3,No,No,Yes,No,8.55,0.0,0.0,41.75,0.0,308.7,0.0,0.0,1650.0,0.0,No,No,No,No,No,No,No,No,No,2.145931,3.610918,Basic service
13,Zone 2,57,54,Married,30,115,College degree,23,No,Female,3,Yes,Yes,No,Yes,15.6,46.25,46.7,0.0,61.05,825.35,2624.25,2590.95,0.0,3348.85,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2.747271,4.744932,Total service
14,Zone 2,9,46,Unmarried,3,25,Did not complete high school,8,No,Female,2,No,No,No,No,4.4,0.0,0.0,0.0,0.0,36.8,0.0,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,1.481605,3.218876,Basic service
15,Zone 1,29,38,Married,12,75,Post-undergraduate degree,1,No,Male,4,No,Yes,Yes,No,5.1,0.0,30.25,11.25,0.0,146.25,0.0,780.8,295.0,0.0,Yes,No,No,Yes,No,No,No,No,No,1.629241,4.317488,E-service
16,Zone 3,60,57,Unmarried,38,162,High school degree,30,No,Male,1,Yes,Yes,Yes,No,16.15,29.75,31.3,30.0,0.0,946.9,1767.6,1788.95,1795.0,0.0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.78192,5.087596,Plus service
17,Zone 3,34,48,Unmarried,3,49,High school degree,6,No,Female,3,Yes,No,No,No,6.65,18.5,0.0,0.0,0.0,230.8,614.3,0.0,0.0,0.0,No,No,No,No,No,Yes,Yes,Yes,No,1.894617,3.89182,Plus service
18,Zone 2,1,24,Unmarried,3,20,Did not complete high school,3,No,Male,1,No,No,No,No,1.05,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,No,No,No,No,No,No,No,No,No,0.04879,2.995732,Basic service
19,Zone 1,26,29,Married,3,77,College degree,2,No,Male,4,No,Yes,Yes,Yes,6.7,0.0,48.1,24.25,38.3,140.95,0.0,1132.8,610.0,910.1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1.902108,4.343805,Total service
